remaining_lease_since_2023,address,geocode,latitude,longitude
53,116 LOR 2 TOA PAYOH,"Toa Payoh, Singapore, Central, Singapore",1.3353906,103.8497414
39,101 POTONG PASIR AVE 1,"101, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350101, Singapore",1.33302895,103.86851766939229
39,104 POTONG PASIR AVE 1,"104, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350104, Singapore",1.3343561,103.86927341870927
39,115 POTONG PASIR AVE 1,"115, Potong Pasir Avenue 1, Toa Payoh, Southeast, 350115, Singapore",1.3374383,103.86263809783416
39,140 POTONG PASIR AVE 3,"140, Potong Pasir Avenue 3, Toa Payoh, Singapore, Southeast, 350140, Singapore",1.3338385000000001,103.86694045560827
39,14 JOO SENG RD,"14, Joo Seng Road, Park Edge, Toa Payoh, Singapore, Southeast, 360001, Singapore",1.3360725,103.87986492354443
40,17 JOO SENG RD,"17, Joo Seng Road, Tai Seng, Toa Payoh, Singapore, Southeast, 368355, Singapore",1.3363668,103.88090441756592
34,246 KIM KEAT LINK,"246, Kim Keat Link, Toa Payoh, Singapore, Central, 310246, Singapore",1.33095095,103.856157997624
39,117 POTONG PASIR AVE 1,"117, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350117, Singapore",1.336216,103.86306060840828
39,144 POTONG PASIR AVE 2,"144, Potong Pasir Avenue 2, Toa Payoh, Singapore, Southeast, 350144, Singapore",1.3326495500000002,103.8654963
39,145 POTONG PASIR AVE 2,"145, Potong Pasir Avenue 2, Toa Payoh, Singapore, Southeast, 350145, Singapore",1.3322994499999998,103.86634345428465
14,79D TOA PAYOH CTRL,"Toa Payoh Central Horizon, 79D, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310177, Singapore",1.3346566000000002,103.84900916635976
14,79E TOA PAYOH CTRL,"Toa Payoh Central Horizon, 79E, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310179, Singapore",1.33466455,103.8497284030403
40,10 JOO SENG RD,"Joo Seng Road, Tai Seng, Joo Seng, Southeast, 368363, Singapore",1.3376415,103.882505
39,126 POTONG PASIR AVE 1,"126, Potong Pasir Avenue 1, Toa Payoh, Southeast, 350126, Singapore",1.33495375,103.86526236623472
39,125 POTONG PASIR AVE 1,"125, Potong Pasir Avenue 1, Toa Payoh, Southeast, 350125, Singapore",1.3354678,103.8651772097497
39,120 POTONG PASIR AVE 1,"120, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350120, Singapore",1.3356386,103.86346228641372
39,113 POTONG PASIR AVE 1,"113, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350113, Singapore",1.3362372,103.86341820741441
39,137 POTONG PASIR AVE 3,"137, Potong Pasir Avenue 3, Toa Payoh, Singapore, Southeast, 350137, Singapore",1.33377475,103.86622356389049
6,9 JOO SENG RD,"9, Joo Seng Road, Park Edge, Toa Payoh, Singapore, Southeast, 360001, Singapore",1.3349051,103.87943952124174
39,18 JOO SENG RD,"18, Joo Seng Road, Tai Seng, Toa Payoh, Singapore, Southeast, 368355, Singapore",1.3367127,103.88124751732668
39,13 JOO SENG RD,"13, Joo Seng Road, Park Edge, Toa Payoh, Singapore, Southeast, 360001, Singapore",1.3358029999999999,103.87937906387111
35,258 KIM KEAT AVE,"258, Kim Keat Avenue, Kim Keat View, Toa Payoh, Singapore, Central, 310258, Singapore",1.3328511,103.85787017796162
35,251 KIM KEAT LINK,"251, Kim Keat Link, Toa Payoh, Singapore, Central, 310251, Singapore",1.3317991,103.85696188168878
39,139 POTONG PASIR AVE 3,"139, Potong Pasir Avenue 3, Toa Payoh, Singapore, Southeast, 350139, Singapore",1.3332028,103.86649327064478
39,12 JOO SENG RD,"12, Joo Seng Road, Park Edge, Toa Payoh, Singapore, Southeast, 360001, Singapore",1.33588,103.87896214391017
35,252 KIM KEAT LINK,"252, Kim Keat Link, Toa Payoh, Singapore, Central, 310252, Singapore",1.3312450999999998,103.85722484808629
21,121 LOR 2 TOA PAYOH,"Toa Payoh, Singapore, Central, Singapore",1.3353906,103.8497414
24,122 LOR 2 TOA PAYOH,"Toa Payoh, Singapore, Central, Singapore",1.3353906,103.8497414
34,254 KIM KEAT AVE,"254, Kim Keat Avenue, Kim Keat View, Toa Payoh, Singapore, Central, 310254, Singapore",1.3317770000000002,103.8582951022144
39,132 POTONG PASIR AVE 1,"132, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350132, Singapore",1.33413635,103.8656342
39,127 POTONG PASIR AVE 1,"127, Potong Pasir Avenue 1, Market Square, Toa Payoh, Southeast, 350127, Singapore",1.3350404500000002,103.86557377538634
50,195 KIM KEAT AVE,"195, Kim Keat Avenue, Toa Payoh, Singapore, Central, 310195, Singapore",1.3304417499999999,103.85884362862217
39,105 POTONG PASIR AVE 1,"105, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350105, Singapore",1.3344464999999999,103.86886229899616
51,183 TOA PAYOH CTRL,"Toa Payoh Central, Toa Payoh, Singapore, Central, Singapore",1.3326741,103.85052221136597
51,184 TOA PAYOH CTRL,"Toa Payoh Central, Toa Payoh, Singapore, Central, Singapore",1.3326741,103.85052221136597
39,15 JOO SENG RD,"15, Joo Seng Road, Park Edge, Toa Payoh, Singapore, Southeast, 360001, Singapore",1.33563345,103.88028005687381
14,79C TOA PAYOH CTRL,"Blk 79C, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310177, Singapore",1.3343835,103.8486631
14,79A TOA PAYOH CTRL,"Toa Payoh Central Horizon, 79A, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310177, Singapore",1.3346534,103.8474571936961
35,256 KIM KEAT AVE,"256, Kim Keat Avenue, Kim Keat View, Toa Payoh, Singapore, Central, 310256, Singapore",1.3322082000000002,103.85827188600017
34,247 KIM KEAT LINK,"247, Kim Keat Link, Toa Payoh, Singapore, Central, 310247, Singapore",1.3312865500000002,103.8552540361016
39,121 POTONG PASIR AVE 1,"121, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350121, Singapore",1.3356302,103.86584107878771
39,133 POTONG PASIR AVE 1,"133, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350133, Singapore",1.3342967,103.86591132501614
39,102 POTONG PASIR AVE 1,"102, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350102, Singapore",1.33360965,103.86907525335515
53,23 TOA PAYOH EAST,"Toa Payoh East, Toa Payoh, Singapore, Central, 310258, Singapore",1.3324605,103.858112
39,116 POTONG PASIR AVE 1,"116, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350116, Singapore",1.3368101000000001,103.86261269874157
39,122 POTONG PASIR AVE 1,"122, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350122, Singapore",1.3350178000000001,103.86630187735933
35,21 JOO SENG RD,"Joo Seng Road, Tai Seng, Joo Seng, Southeast, 368363, Singapore",1.3376415,103.882505
39,119 POTONG PASIR AVE 1,"119, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350119, Singapore",1.33478895,103.86311918431036
39,106 POTONG PASIR AVE 1,"106, Potong Pasir Avenue 1, Market Square, Toa Payoh, Singapore, Southeast, 350106, Singapore",1.3340806,103.86820461311706
39,136 POTONG PASIR AVE 3,"136, Potong Pasir Avenue 3, Toa Payoh, Singapore, Southeast, 350136, Singapore",1.3340703999999999,103.86667696623523
51,186 TOA PAYOH CTRL,"Roasted Chicken Rice, 186, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310186, Singapore",1.3319249,103.8502122
25,146 POTONG PASIR AVE 1,"Ban Kok Clinic & Surgery, 146, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350146, Singapore",1.3316487,103.8675772
52,25 TOA PAYOH EAST,"25, Toa Payoh East, Toa Payoh, Singapore, Central, 310025, Singapore",1.33372315,103.85738094500894
52,26 TOA PAYOH EAST,"26, Toa Payoh East, Toa Payoh, Singapore, Central, 310026, Singapore",1.33307155,103.85716366964792
34,248 KIM KEAT LINK,"248, Kim Keat Link, Toa Payoh, Singapore, Central, 310248, Singapore",1.3315815500000001,103.8561473014004
40,11 JOO SENG RD,"Joo Seng Road, Tai Seng, Joo Seng, Southeast, 368363, Singapore",1.3376415,103.882505
34,250 KIM KEAT LINK,"250, Kim Keat Link, Toa Payoh, Singapore, Central, 310250, Singapore",1.33185625,103.85654828026983
50,194 KIM KEAT AVE,"194, Kim Keat Avenue, Kim Keat View, Toa Payoh, Singapore, Central, 310194, Singapore",1.330951,103.85823017204721
39,114 POTONG PASIR AVE 1,"114, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350114, Singapore",1.3369542,103.86316669527864
39,142 POTONG PASIR AVE 3,"Potong Pasir Avenue 3, Potong Pasir, Southeast, 350144, Singapore",1.3322826,103.8652817
34,241 KIM KEAT LINK,"241, Kim Keat Link, Toa Payoh, Singapore, Central, 310241, Singapore",1.3303323,103.85555070861727
39,118 POTONG PASIR AVE 1,"118, Potong Pasir Avenue 1, Toa Payoh, Singapore, Southeast, 350118, Singapore",1.33548205,103.86262866625813
49,179 TOA PAYOH CTRL,"179, Toa Payoh Central, Braddell, Toa Payoh, Singapore, Central, 310179, Singapore",1.3338879000000001,103.85007550100272
35,19 JOO SENG RD,"Joo Seng Road, Tai Seng, Joo Seng, Southeast, 368363, Singapore",1.3376415,103.882505
